trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9999980000006666}",20,0,-95.68096351002428,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9999900000273333}",20,0,-138.30611993641966,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9999720002613323}",30,0,-83.3414233124475,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9999400013279854}",20,0,-121.85746448674793,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9998900047445594}",20,0,-110.55244928904699,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9998180135281185}",25,0,-104.82314384594359,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9997200329631577}",30,0,-111.34633284176948,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9995920715288172}",25,0,-105.76222556406059,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.999430141985398}",30,0,-215.45183806162086,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.9992302626197798}",25,5,-81.11347462331855,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",1
11,False,"{'a': 0.002, 'e': 0.9989884586492219}",20,0,-62.752918178002716,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.9987007637828822}",30,0,-138.81334050718732,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9983632219402234}",35,0,-183.67400340002897,"{0: 22, 1: 2, 2: 6, 3: 3, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9979718891253023}",20,0,-208.807903314364,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.002, 'e': 0.9975228354557368}",25,9,-83.56789704349656,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.002, 'e': 0.9970121473449336}",25,0,-43.38770309281328,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9964359298359302}",20,0,-98.81757488063391,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9957903090849562}",20,0,-123.86722148041578,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9950714349925587}",25,0,-90.29271041787236,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.994275483979857}",20,0,-121.33823366136721,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9933986619072006}",20,0,-76.16472031920517,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9924372071321944}",20,0,-58.48018148579796,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9913873937037369}",25,0,-78.08606989884588,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9902455346883795}",25,0,-132.20077317655026,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.9890079856249716}",20,0,-233.55199117700124,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
26,False,"{'a': 0.002, 'e': 0.9876711481031928}",30,0,-145.28152153927192,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.986231473461209}",30,0,-166.68377409631438,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.9846854665973077}",20,0,-144.24249786547503,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9830296898899783}",25,0,-120.54893485128292,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
