trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.17062014206347,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.27034845242581,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.63149950723894,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.55606080740694,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.25935811919592,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-206.34596153466856,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.781849128171274,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,13,-10.83143776456222,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,1,-103.83767565966217,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,3,-99.26631088772983,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.06669270792982,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.65423113828885,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.02326353409366,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.6047323635126,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,4,-12.612294038824057,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.99462263426085,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,14,-44.29173109428006,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.669870671941865,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.4518518002463,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,13,-9.471659867657632,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.81444992517905,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.43658170436508,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.34099602038971,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-184.43821137229043,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.17541958601839,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,1,-138.544014576885,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.33781633975923,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.52796609238293,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,4,-43.05358569343745,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-195.15750960075366,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
